,Training,avg,testing
0,22300.751100905014,13250.47105402133,10000.0
1,22300.751100905014,13250.47105402133,10070.573690398323
2,22500.212674616327,10560.248628868678,11446.398948197051
3,22662.599336674146,9852.335801102048,10237.778132150746
4,23040.44223876879,12149.377796610219,12584.887365328312
5,23256.976079359894,10290.067409912417,9752.409434157285
6,21477.226942844245,11742.763641715392,10946.818798812405
7,23374.135934880054,10292.749042879259,10000.0
8,31493.898674508135,14229.312885755566,10837.040442793059
9,22825.508351182376,13142.480980713035,9085.952251150917
10,24300.307808472448,12059.36420741283,9091.462954401813
11,24107.315743081643,12440.419899824716,10000.0
12,25786.633228443214,13423.553383822522,10931.477542220437
13,26619.308270278958,13274.978529289641,10003.822814878898
14,28325.327106876997,14495.110383246201,7975.36265356319
15,26474.49217156864,12757.37375484095,10000.0
16,20880.874729085797,9538.865961215957,10000.0
17,17746.520548754095,11329.939383420651,9642.629773115863
18,22897.678012935696,11367.781839830608,12406.88378130667
19,30613.99389660319,12694.983231001168,12369.352870352759
20,23247.612865882325,11374.417245693767,11082.76866206036
21,33907.101411018586,15038.898532703372,12159.388334560652
22,33564.54915672158,11687.928370113295,12331.858398355187
23,25409.87267847312,11627.855079476501,11680.851602112412
24,29052.754126754335,11107.0123409963,12118.18075169207
25,18992.02128071362,11914.439500763121,9423.902092142183
26,18121.058325603477,12113.324592034047,9528.100523320423
27,26345.665833180887,12946.148299695753,9695.993403021313
28,19185.34506078533,11267.213811547874,10000.0
29,28453.98165251668,13361.762335942214,9432.742446619179
30,18368.259181155416,10565.010039168175,10000.0
31,19082.82694711309,12546.37415435273,10830.518999442547
32,34161.171711859846,12659.799053480794,10329.939875423312
33,19190.457030210815,12015.842602396087,10000.0
34,27369.171102026125,12918.981550037563,10807.322788886699
35,16767.79706280721,11391.88110025084,12178.544400496752
36,30969.79062780957,12700.875198325246,12322.608281012763
37,19946.835652576723,12514.117597034498,10000.0
38,38062.81118428237,13088.485727201038,10194.048148404014
39,24574.61629823198,12065.918450616642,8970.841272358393
40,30162.63638289681,13209.1919479164,9220.130015960334
41,37548.63963293128,14295.119739482583,8035.574594571401
42,26106.59891694259,12534.38057410871,10000.0
43,31044.292726163003,14050.631698857609,11701.120405768037
44,22069.03060415991,10709.50221684533,9753.781014463313
